NMDS_x,NMDS_y,Site,Data
-0.08306648330081302,0.18994370212940198,A,b) Shape Data
0.030336392347564477,-0.2442190608012423,A,b) Shape Data
-0.755307837621943,0.48547162973017655,A,b) Shape Data
-0.9097085602334768,0.21970994267217953,A,b) Shape Data
0.22999685710847312,-0.00567444832477514,A,b) Shape Data
0.11788636415829803,0.5046565807207305,A,b) Shape Data
-0.7318186895310892,0.5495201060880024,A,b) Shape Data
0.49460972691852767,0.5012202996207702,A,b) Shape Data
0.07224316031633533,0.6272220430266233,A,b) Shape Data
-0.5935271103389705,0.9913068902303327,A,b) Shape Data
-0.0051475768582480005,0.2695553261575222,A,b) Shape Data
-2.1216881988011136,0.23756097185677116,A,b) Shape Data
-0.2004506361082925,0.11569008369815344,A,b) Shape Data
-0.6171414145845018,0.11036984989221683,A,b) Shape Data
-0.99078924424392,0.08089425248929354,A,b) Shape Data
-0.3037255589675578,0.5295869262293674,A,b) Shape Data
0.28859347762391463,1.062840929836444,A,b) Shape Data
-0.38776630127610806,-0.8531008150880441,A,b) Shape Data
0.32563297232340577,-3.5444024684726184e-4,L,b) Shape Data
1.0150233422186992,0.1292353348578903,L,b) Shape Data
0.4699441827095447,-0.4911625400905547,L,b) Shape Data
0.24654062544662353,-0.22056514864219412,L,b) Shape Data
2.121059108269798,-0.18343751527976426,L,b) Shape Data
1.705115717318488,0.6016836729199639,L,b) Shape Data
0.5290495686526904,-0.30463330056313237,L,b) Shape Data
1.6830313645355144,-0.11639224331911588,L,b) Shape Data
-1.3600840958347553,-1.2879360401682576,L,b) Shape Data
0.3536356179533395,-0.5958498874528014,L,b) Shape Data
0.5010406968997763,0.11251196630099648,L,b) Shape Data
-0.3915132186583667,-0.42791927029840177,L,b) Shape Data
1.2192365210612657,-0.15220651378230388,L,b) Shape Data
1.0822974606514548,-0.40305010711757666,L,b) Shape Data
0.4038370477814354,-0.08964536461876128,L,b) Shape Data
0.17229588234833668,0.47473587755196994,L,b) Shape Data
-0.8192386130466547,-0.15030516272923353,L,b) Shape Data
0.926189509818839,0.2954488523682642,L,b) Shape Data
0.24438445103894843,-0.11466861860075475,N,b) Shape Data
0.7867818403225398,-0.2816047666095041,N,b) Shape Data
-0.61897588386678,0.6575367004047907,N,b) Shape Data
-0.029979835945790366,0.1355512626162648,N,b) Shape Data
-0.40027007797167524,-0.24802766570221413,N,b) Shape Data
-0.48698123696290435,0.1863193600811487,N,b) Shape Data
-0.1253930886793814,-1.704502766186965,N,b) Shape Data
-0.2426366110787535,-1.6235993277439331,N,b) Shape Data
-0.4084110833153446,0.5074915654811343,N,b) Shape Data
-0.7764319021409327,0.3353836214904708,N,b) Shape Data
0.38597897996228,0.1198404482200456,N,b) Shape Data
-0.43255795849986145,-0.11167455909804475,N,b) Shape Data
-0.9699147520821314,-0.06288909708096815,N,b) Shape Data
-0.8171810416380287,-1.3258195468239986,N,b) Shape Data
-0.16929475933622465,0.036153450891982936,N,b) Shape Data
-0.3115808157247139,0.2784513818170217,N,b) Shape Data
0.23778232760223728,0.3942578610102941,N,b) Shape Data
0.4180593912599977,0.2590873159791606,N,b) Shape Data
