Otoliths (mmol/mol Ca),Ni,Fe,Cr,Zn,Pb,Cd,Mn,Ca,Mg,K,Na,Sr,Ba,Fish TL (cm),Fish SL (cm),Oto L (?),Oto Wid (um),Oto We (mg)
1A,0.629198452,1.192143915,0.624422988,0.095955139,0.798413382,0.230454394,0.904415419,1000,2.766289965,2.106128774,178.8544309,44.46283333,5.111249162,46,39,11073.6,6613.4,165.1
2A,0.810635219,1.13724255,0.589674322,0.028133444,0.66959441,0.214843989,0.794789308,1000,1.391029359,1.749739297,140.6305479,44.54719117,4.991641147,32,27,11535,6921,160.5
3A,0.844234306,0.986331137,0.598464129,0.003508223,0.624826664,0.221193238,1.158376538,1000,2.783801701,1.858908726,158.5987438,44.67803578,4.887642583,38,32,11224,6459.6,152.5
4A,0.880805551,1.1098047,0.602304688,0.06205284,0.814974289,0.255264956,1.17590832,1000,1.201108459,1.805254806,166.1150069,42.69032074,4.757737551,37.5,31,12304,7074.8,224.1
5A,0.857970644,1.473461245,0.544704616,0.003846348,0.584106234,0.2789502,0.654371216,1000,2.873871528,1.776719468,156.7300556,35.05122828,4.93904408,45,39,12150.2,7228.6,205.9
6A,0.697091072,1.259372339,0.55123062,0.069958091,0.660776666,0.25833488,0.745232064,1000,2.401820135,1.571064337,162.1205516,36.31226224,4.809031524,48,40,11535,6767.2,155
7A,0.904758457,1.09992018,0.65121753,0.120145521,0.685424661,0.294366575,0.573321564,1000,2.554832708,1.862187529,173.9942362,38.74471728,5.545027562,43,37,11996.4,6767.2,151.2
8A,0.987612743,1.71662574,0.710449068,0.081024471,0.639016169,0.308813419,1.24947342,1000,6.34287885,2.015816706,224.0750202,38.28473361,5.337568065,39,34,11842.6,6305.8,151.1
9A,0.859570742,1.291750676,0.638797332,0.046348601,0.615804685,0.352336463,0.943597472,1000,3.662202538,1.707758954,193.6994281,40.29665848,4.476841998,38,32,11535,6921,185.7
10A,0.93510308,1.139616704,0.635614824,0.033668402,0.604349131,0.321590452,1.034768712,1000,0.905599666,1.698515412,175.7906608,42.06610722,4.450096774,38,32,12304,7382.4,214.7
11A,0.767497203,1.873835857,0.590624581,0.141060004,0.430361171,0.300249298,1.155060574,1000,3.278930139,1.929969099,154.3689954,44.0486645,5.036080873,41,35,12304,7536.2,235.3
12A,0.998697634,1.090462734,0.656378501,0.03317463,0.585106307,0.375007596,1.024957277,1000,3.776891111,2.08552936,207.5669687,44.62571407,4.787504013,43,36,12919.2,7536.2,179.5
13A,0.954497783,3.2736545,0.689187899,0.003967572,0.525238761,0.27767582,0.990227605,1000,2.331673275,1.945051516,141.6500538,47.27052898,5.878197582,43,35,12457.8,7690,197.6
14A,1.092172627,1.025267616,0.671148796,0.059771791,0.512392743,0.333605981,0.930824011,1000,0.504407598,1.705453765,165.8056725,46.6720563,5.011968368,41.5,35,12304,7382.4,172
15A,0.918010116,1.459118748,0.570644832,0.00315803,0.285353472,0.323899299,0.634551743,1000,1.655668758,1.815220212,140.7636725,47.99827328,5.071152771,39,35,12765.4,7382.4,264.2
16A,0.954444806,2.08875018,0.576191067,0.104004827,0.231832194,0.344810664,1.73816652,1000,1.442976495,1.7171901,171.8079542,48.01119337,4.936972185,41,35,13226.8,7074.8,204.1
17A,0.976496281,1.273261076,0.735684349,0.049287786,0.396921032,0.355603083,1.099251566,1000,0.13871872,1.751334167,171.3805154,53.1270624,4.38619788,44,37,13842,7997.6,238.9
18A,1.029063565,3.71132521,0.736246197,0.044967453,0.423879252,0.375932436,0.435045054,1000,8.537226998,1.975302586,205.1329026,45.17552851,4.917619969,40.5,34,12457.8,7228.6,182.9
1L,0.013213143,1.13510138,0.150907485,0.005497195,0.011223735,4.70E-05,0.014903444,1000,0.575513678,1.212442255,6.154139334,1.084942172,0.168901042,32,28,9997,5844.4,82.8
2L,0.006230741,0.200497672,0.013370851,0.006655859,0.009640543,3.77E-05,0.017809353,1000,0.656275349,0.764177052,4.389600987,0.773787502,0.097341923,30,26,9228,5383,82.3
3L,0.009191507,0.831796993,0.016565619,0.047905384,0.011190676,0.000616522,0.02357183,1000,4.298316078,1.688990281,4.088586831,1.610844539,0.433433256,27.5,22.5,9381.8,5536.8,75.5
4L,0.009080255,3.646222407,0.017508856,0.001091069,0.008962424,0.000161976,0.010893051,1000,0.80264984,1.081550576,4.656616909,1.590553811,0.42265649,29.4,24.4,9228,5383,74.4
5L,0.002518542,2.482245061,0.00192497,0.004485839,0.010307385,3.45E-05,0.01700047,1000,0.129103094,0.759034565,4.391261151,0.71402748,0.28812394,29.9,24.2,9381.8,5536.8,80.8
6L,0.003803977,0.527560594,0.008085508,0.002489443,0.009552671,9.97E-05,0.013243961,1000,0.085288038,0.613337821,4.367915392,0.54532704,0.086658447,28.9,24.5,9228,5383,76.5
7L,0.002814151,0.301859613,0.005173655,0.02635658,0.01005325,0.000139597,0.018623402,1000,5.15551581,1.031134784,3.216289603,0.842869034,0.146786929,26.2,22.3,8459,5075.4,61.4
8L,0.003997372,0.081178049,0.019322438,0.027012437,0.010662955,4.43E-06,0.012153482,1000,0.408329055,0.862425175,3.993911587,1.021170379,0.17035949,27.3,22.7,8920.4,5229.2,64.3
9L,0.007927574,0.12080312,0.027980698,0.003361592,0.01637408,0.000135269,0.019633657,1000,2.120110313,1.438659717,8.887278818,1.129606479,0.178225637,25,20.5,8305.2,5075.4,56.1
10L,0.004798218,0.427560307,0.024131068,0.022815329,0.00848154,0.001018184,0.013179671,1000,3.589127375,0.924781861,4.131901605,0.90128899,0.131814221,24.5,20.4,8151.4,4921.6,56.8
11L,0.008475023,1.180320608,0.01109479,0.003016871,0.008283251,0.000636747,0.013179307,1000,1.548435416,0.493755308,3.799003545,0.507386597,0.0739027,36,30,10458.4,6921,145.6
12L,0.006793884,0.002043467,0.010090289,0.008255456,0.006653279,0.000148036,0.010711202,1000,2.065385553,0.520095963,3.477521702,0.573377632,0.079788347,38,32,10766,7074.8,150.7
13L,0.006939205,0.006046302,0.02280345,0.015695275,0.007408748,3.66E-06,0.012920688,1000,5.329468976,1.085370968,3.987320876,1.099865207,0.129511,38,32,10919.8,7228.6,136.7
14L,0.005280864,0.191385175,0.018923222,0.055086364,0.00907951,0.001807997,0.021294037,1000,11.42878552,1.093912794,3.790953697,1.126928131,0.144410682,34,28.5,10766,7074.8,134.1
15L,0.001625424,0.027416415,0.00737389,0.000687482,0.006332695,0.000772819,0.009591698,1000,2.780043463,0.548455913,3.454972147,0.493429614,0.064628561,41,34,11688,7228.6,170
16L,0.005071026,0.002039034,0.018241338,0.025120781,0.007314157,3.85E-05,0.015851787,1000,7.031296284,0.990106551,3.939646441,1.324788128,0.147119199,44,35,11227.4,7074.8,145.1
17L,0.012151711,0.015074451,0.018723039,0.022013974,0.007658978,1.93E-05,0.016201261,1000,12.69300401,1.210643677,3.776601319,1.294889265,0.147769908,37,32,10766,7074.8,180.4
18L,0.006046137,0.041375981,0.046851833,0.086350316,0.033360378,0.002751428,0.052747718,1000,11.60680634,1.951686999,3.017922791,2.677871012,0.3427608,41,35,12150.2,7536.2,152.1
1N,0.121935102,3.043303081,0.067168719,0.886088655,0.059409611,0.014515903,0.25011838,1000,53.00232169,5.458430418,11.61283414,2.272005837,0.878866023,30,25.1,9228,5536.8,89.4
2N,0.079664267,0.308584884,0.047103746,0.092617084,0.042446402,0.010695928,0.060792662,1000,14.65743217,0.82232379,9.975520545,1.652255675,0.489648633,38,32,9843.2,6459.6,126.6
3N,0.081940389,0.498998502,0.060635368,0.238625192,0.048485611,0.012835114,0.097268259,1000,36.27714462,0.917768019,11.05481376,1.901288366,0.635635265,30.7,25.7,10458.4,5998.2,104.9
4N,0.065032054,0.439468616,0.044045062,0.175116335,0.041172242,0.009847045,0.107689858,1000,29.05312448,0.899121737,9.156448678,1.666486114,0.571457477,38,31,10766,6767.2,133.8
5N,0.058528849,0.238615055,0.044595625,0.097189566,0.033849662,0.007894614,0.059924195,1000,15.31178182,0.726326355,7.676723404,1.140903708,0.443914894,39,34,11073.6,6921,156.6
6N,0.071877534,0.382615039,0.034076969,0.122904017,0.045607966,0.01144652,0.095988413,1000,29.50772529,0.884786349,10.09275967,1.740794688,0.551277117,38,32,11535,7074.8,125.2
7N,0.068283657,0.168489219,0.039544805,0.016521846,0.042974354,0.00899078,0.053920448,1000,1.935736966,0.594533266,8.883224205,1.721043498,0.537372808,36,31,11227.4,6921,152.7
8N,0.072300343,0.260038698,0.019949822,0.041461368,0.050859829,0.011325101,0.077242441,1000,11.63972555,0.67472893,10.86995614,2.194477275,0.726347109,33,28,10150.8,6459.6,113.3
9N,0.068283657,0.420673302,0.035970134,0.20897216,0.038132681,0.010695928,0.093794392,1000,29.05312448,0.948910238,9.588121689,2.011283856,0.592720365,33,28,10766,7074.8,140.1
10N,0.068283657,0.242651776,0.036612457,0.036008296,0.032036287,0.011587256,0.059272845,1000,6.492784407,0.572750797,9.819108257,2.634092473,0.776851065,32.5,27,10304,6459.6,105.8
11N,0.113806095,0.547797972,0.12461082,0.055161646,0.081239189,0.02376873,0.109426791,1000,6.87067133,0.852506034,15.2393025,6.346521913,2.049714574,21.5,18.8,7690,4460.2,46.2
12N,0.105677088,0.659544657,0.017434504,0.242973915,0.07345607,0.01867543,0.095531326,1000,35.33488112,0.994549696,13.68486459,4.276755307,1.479368882,24,20.8,8459,5075.4,65.5
13N,0.086906473,0.94663143,0.01121147,0.411204994,0.060313943,0.015881833,0.139270462,1000,56.96411139,1.246842492,11.69275402,2.967739682,1.061779919,25,21,9228,5229.2,77.9
14N,0.090496413,0.620801195,0.018573219,0.544970474,0.071311509,0.019329991,0.123050207,1000,41.72070301,1.032467409,13.2763455,3.589818191,1.253169197,23,20.5,8459,4921.6,61.2
15N,0.125186705,3.111564244,0.041108724,0.09908666,0.232595536,0.058530497,0.370835237,1000,63.21017623,5.143225281,13.98122472,2.407866602,0.898634949,23.5,20,9997,5844.4,91.8
16N,0.098631949,1.627446376,0.017128635,0.762728926,0.074361798,0.019807275,0.170219453,1000,73.28716085,2.435080695,12.79191023,3.268427021,1.041232953,29.5,25.5,8305,4921.6,58.5
17N,0.063731413,0.347337404,0.029289966,0.119721201,0.050419878,0.011884365,0.058360955,1000,18.68822602,0.830979829,10.86072693,1.894884669,0.636024389,31,27,9997,6305.8,96.5
18N,0.065032054,1.2360482,0.034869007,0.461139682,0.047343473,0.010186598,0.166745587,1000,34.54966154,2.294175986,9.430395012,1.36503313,0.556865299,36,30.5,11073.6,6613.4,122.5
