folder,picname,length_cm,otolith_weight_mg,cal,pop
AG,001_1,39,165.1,190.7021838,AG
AG,001_2,27,160.5,176.7435513,AG
AG,001_3,32,152.5,160.4997698,AG
AG,001_4,31,224.1,164.1021716,AG
AG,001_5,39,205.9,162.923032,AG
AG,001_6,40,155,174.3936008,AG
AG,001_7,37,151.2,181.9880397,AG
AG,001_8,34,151.1,166.5873552,AG
AG,001_9,32,185.7,182.6168378,AG
AG,001_10,32,214.7,174.0319678,AG
AG,001_11,35,235.3,169.2238036,AG
AG,001_12,36,179.5,164.5899762,AG
AG,001_13,35,197.6,168.1867185,AG
AG,001_14,35,172,165.8500905,AG
AG,001_15,35,264.2,163.9640473,AG
AG,001_16,35,204.1,161.9291776,AG
AG,001_17,37,238.9,152.4372899,AG
AG,001_18,34,182.9,173.2527024,AG
LU,002_1,28,82.8,169.6006443,LU
LU,002_2,26,82.3,191.5280364,LU
LU,002_3,22.5,75.5,173.7887839,LU
LU,002_4,24.4,74.4,168.7259309,LU
LU,002_5,24.2,80.8,161.8808335,LU
LU,002_6,24.5,76.5,221.1139108,LU
LU,002_7,22.3,61.4,180.8161347,LU
LU,002_8,22.7,64.3,168.2883638,LU
LU,002_9,20.5,56.1,241.0165899,LU
LU,002_10,20.4,56.8,180.9534641,LU
LU,002_11,30,145.6,137.4384722,LU
LU,002_12,32,150.7,175.1027095,LU
LU,002_13,32,136.7,132.4234275,LU
LU,002_14,28.5,134.1,125.4393382,LU
LU,002_15,34,170,149.1692977,LU
LU,002_16,35,145.1,118.5423037,LU
LU,002_17,32,180.4,135.8238236,LU
LU,002_18,35,152.1,168.4813275,LU
NN,003_1,25.1,89.4,180.3373752,NN
NN,003_2,32,126.6,161.5672706,NN
NN,003_3,25.7,104.9,163.0011624,NN
NN,003_4,31,133.8,162.860963,NN
NN,003_5,34,156.6,168.8730842,NN
NN,003_6,32,125.2,160.5158822,NN
NN,003_7,31,152.7,167.733972,NN
NN,003_8,28,113.3,172.3622586,NN
NN,003_9,28,140.1,190.9947067,NN
NN,003_10,27,105.8,187.8533058,NN
NN,003_11,18.8,46.2,259.6995946,NN
NN,003_12,20.8,65.5,254.2687861,NN
NN,003_13,21,77.9,183.5966849,NN
NN,003_14,20.5,61.2,209.0327619,NN
NN,003_15,20,91.8,144.1635113,NN
NN,003_16,25.5,58.5,213.9929318,NN
NN,003_17,27,96.5,193.2559064,NN
NN,003_18,30.5,122.5,168.817194,NN
